-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |      Rel. |    Aki    | Acc. |       Ei           Ek       |                Lower level                |                Upper level                 |Type|    TP  |    Line  |
         Wavelength |         Wavelength |      Int. |    s^-1   |      |     (cm-1)       (cm-1)     |-------------------------------------------|--------------------------------------------|    |   Ref. |    Ref.  |
          Air  (Å)  |          Air  (Å)  |      (?)  |           |      |                             | Conf.     | Term                   | J    | Conf.     | Term                    | J    |    |        |          |
          4686.563  |          4686.561  |       60s | 7.7e+03   |      |  84212.404   -  105544.042  | 5d9.6s.6p | (2D<5/2>,3P<1>)*       | 7/2  | 5d10.6d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          4704.625  |          4704.625+ |      300l | 6.7e+06   |      | 123153.775   -  144403.510  | 5d10.5f   | 2F*                    | 7/2  | 5d10.8g   | 2G                      | 9/2  |    |  T7226 |  L11760  |
          4742.297  |          4742.296  |       300 |           |      | 144619.360   -  165700.298  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,3/2] | 9/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,7/2]* | 9/2  |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          4762.266  |          4762.271  |      100h | 2.8e+06   |      | 123411.351   -  144403.864  | 5d10.5f   | 2F*                    | 5/2  | 5d10.8g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
          4825.566  |          4825.564  |     17000 |           |      | 144619.360   -  165336.537  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,3/2] | 9/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,5/2]* | 11/2 |    |        |  L11760  |
          4827.732  |          4827.7260 |       30w | 4.8e+03   |      |  84836.143   -  105544.042  | 5d9.6s.6p | (2D<5/2>,3P<1>)*       | 5/2  | 5d10.6d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          4855.584  |          4855.586  |    16000h | 2.2e+06   |      | 111971.464   -  132560.550  | 5d10.7p   | 2P*                    | 3/2  | 5d10.9s   | 2S                      | 1/2  |    |  T7226 |  L11760  |
          4880.327  |                    |     4500c |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          4916.328  |                    |      100w |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          4961.873  |          4961.888  |    18000c | 2.1e+05   |      |  84836.143   -  104984.138  | 5d9.6s.6p | (2D<5/2>,3P<1>)*       | 5/2  | 5d10.6d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          4980.564  |          4980.567  |     9500l |           |      | 145859.294   -  165931.728  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,3/2] | 5/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,5/2]* | 7/2  |    |        |  L11760  |
          5017.279  |                    |       100 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          5025.607  |                    |       100 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          5066.493  |          5066.497  |      1200 |           |      | 145968.295   -  165700.298  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,3/2] | 7/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,7/2]* | 9/2  |    |        |  L11760  |
          5098.559  |          5098.560  |        60 |           |      | 146062.814   -  165670.728  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2] | 11/2 | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,5/2]* | 9/2  |    |        |  L11760  |
          5100.946  |          5100.945  |       100 |           |      | 146062.814   -  165661.563  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2] | 11/2 | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,7/2]* | 11/2 |    |        |  L11760  |
          5128.442  |          5128.4537 |   120000c | 2.5e+07   |      | 106086.013   -  125579.636  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 3/2  | 5d10.7d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          5146.289  |          5146.294  |     15000 |           |      | 146505.679   -  165931.728  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2] | 7/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,5/2]* | 7/2  |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          5162.357  |          5162.367  |    25000c | 1.7e+05   |      |  86178.478   -  105544.042  | 5d9.6s.6p | (2D<5/2>,3P<1>)*       | 3/2  | 5d10.6d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          5196.190  |          5196.1883 |    18000c | 4.2e+06   |      | 106086.013   -  125325.531  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 3/2  | 5d10.7d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          5204.768  |          5204.768+ |    150000 |           |      | 146062.814   -  165270.619  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2] | 11/2 | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,7/2]* | 13/2 |    |        |  L11760  |
          5205.868  |          5205.864  |       80h |           |      | 146727.968   -  165931.728  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2] | 9/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,5/2]* | 7/2  |    |        |  L11760  |
          5216.382  |          5216.379  |     40000 |           |      | 146505.679   -  165670.728  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,5/2] | 7/2  | 5d9.6s.5f | [(2D<5/2>,1/2)<3>,5/2]* | 9/2  |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          5222.922  |          5222.922+ |      500h | 1.3e+07   |      | 123153.775   -  142294.817  | 5d10.5f   | 2F*                    | 7/2  | 5d10.7g   | 2G                      | 9/2  |    |  T7226 |  L11760  |
          5242.173  |          5242.173  |       35w | 9.0e+04   |      | 105544.042   -  124614.794  | 5d10.6d   | 2D                     | 5/2  | 5d9.6s.6p | (2D<3/2>,1P<1>)*        | 3/2  |    |  T7226 |  L11760  |
