----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|                  TP  |   Line  |
         Wavelength |         Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |                 Ref. |   Ref.  |
          Air  (Å)  |          Air  (Å)  |  (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |                      |         |
           4628.441 |           4628.441 |     7 | 3.83e+04  | C    |  95399.8276   -  116999.3259  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 2   |    | T1419n,T1218n,T1164n |  L2634  |
                    |           4642.137 |       | 9.6e+04   | E    | 104102.0990   -  125637.87    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).9d  | 2[3/2]* | 2   |    |               T1164n |         |
                    |           4647.489 |       | 1.2e+05   | E    | 104102.0990   -  125613.07    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).9d  | 2[1/2]* | 1   |    |               T1164n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
           4702.316 |           4702.316 |    15 | 1.09e+05  | C    |  95399.8276   -  116659.9934  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 1   |    | T1419n,T1218n,T1164n |  L2634  |
                    |           4746.821 |       | 3.6e+05   | E    | 104102.0990   -  125162.94    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).8d  | 2[1/2]* | 0   |    |               T1164n |         |
                    |           4752.939 |       | 4.5e+05   | E    | 104102.0990   -  125135.831   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).8d  | 2[1/2]* | 1   |    |               T1164n |         |
                    |           4768.673 |       | 8.6e+05   | D    | 104102.0990   -  125066.432   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).6d  | 2[3/2]* | 2   |    |               T1218n |         |
                    |           4798.742 |       | 8.8e+04   | E    | 105462.7596   -  126295.73    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).12d | 2[7/2]* | 4   |    |               T1164n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
                    |           4835.970 |       | 9.3e+04   | E    | 105462.7596   -  126135.36    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).11d | 2[7/2]* | 4   |    |               T1164n |         |
                    |           4836.697 |       | 1.02e+05  | C    | 104102.0990   -  124771.59    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).9s  | 2[3/2]* | 2   |    |               T1164n |         |
                    |           4876.261 |       | 7.8e+05   | D    | 104102.0990   -  124603.890   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).7d  | 2[3/2]* | 2   |    |               T1218n |         |
                    |           4886.290 |       | 1.2e+05   | E    | 105462.7596   -  125922.47    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).10d | 2[7/2]* | 4   |    |               T1164n |         |
                    |           4887.947 |       | 1.3e+06   | D    | 104102.0990   -  124554.874   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).7d  | 2[1/2]* | 1   |    |               T1218n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
                    |           4894.691 |       | 1.8e+06   | D    | 104102.0990   -  124526.695   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).7d  | 2[1/2]* | 0   |    |               T1218n |         |
                    |           4921.034 |       | 5.9e+04   | E    | 105617.2700   -  125932.53    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<3/2>).10d | 2[7/2]* | 3   |    |               T1164n |         |
                    |           4937.720 |       | 3.6e+04   | E    | 105462.7596   -  125709.37    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).11s | 2[3/2]* | 2   |    |               T1164n |         |
                    |           4956.750 |       | 1.8e+05   | E    | 105462.7596   -  125631.64    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).9d  | 2[7/2]* | 4   |    |               T1164n |         |
                    |           4989.943 |       | 1.1e+05   | E    | 105617.2700   -  125651.99    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<3/2>).9d  | 2[7/2]* | 3   |    |               T1164n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
                    |           5032.024 |       | 8.2e+04   | E    | 105462.7596   -  125329.94    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).10s | 2[3/2]* | 2   |    |               T1164n |         |
                    |           5048.811 |       | 4.6e+05   | D    | 104102.0990   -  123903.220   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).8s  | 2[3/2]* | 2   |    |               T1218n |         |
                    |           5054.176 |       | 4.5e+05   | D    | 104102.0990   -  123882.203   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).7s  | 2[1/2]* | 1   |    |               T1218n |         |
                    |           5056.529 |       | 5.7e+05   | D    | 104102.0990   -  123873.000   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).7s  | 2[1/2]* | 0   |    |               T1218n |         |
                    |           5060.079 |       | 3.7e+05   | E    | 105462.7596   -  125219.788   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<3/2>).8d  | 2[7/2]* | 4   |    |               T1164n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
                    |           5070.977 |       | 2.6e+05   | E    | 105617.2700   -  125331.84    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<3/2>).10s | 2[3/2]* | 1   |    |               T1164n |         |
                    |           5073.076 |       | 5.9e+04   | D    | 104102.0990   -  123808.513   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).6d  | 2[3/2]* | 2   |    |               T1164n |         |
                    |           5078.033 |       | 4.7e+04   | E    | 105462.7596   -  125149.937   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3   | 3s2.3p5.(2P*<1/2>).6d  | 2[5/2]* | 3   |    |               T1164n |         |
                    |           5087.084 |       | 1.6e+05   | E    | 105617.2700   -  125269.42    | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<3/2>).8d  | 2[7/2]* | 3   |    |               T1164n |         |
                    |           5104.729 |       | 8.7e+04   | E    | 106087.2598   -  125671.48    | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1   | 3s2.3p5.(2P*<3/2>).9d  | 2[5/2]* | 2   |    |               T1164n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
                    |           5118.202 |       | 2.7e+05   | D+   | 105617.2700   -  125149.937   | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 2   | 3s2.3p5.(2P*<1/2>).6d  | 2[5/2]* | 3   |    |               T1218n |         |
