---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|        TP  |   Line  |
          Wavelength |          Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |       Ref. |   Ref.  |
           Air  (Å)  |           Air  (Å)  |   (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |            |         |
           4252.418  |           4252.42+  |     20 |           |      | 149657.0392   -  173166.45    | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3   | 2s2.2p5.(2P*<3/2>).12d | 2[5/2]* | 3   |    |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           4252.775  |           4252.78+  |     20 |           |      | 149657.0392   -  173164.48    | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3   | 2s2.2p5.(2P*<3/2>).12d | 2[7/2]* | 4   |    |            |  L3469  |
           4256.498  |           4256.49+  |    20* |           |      | 150121.5922   -  173608.51    | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2   |    |            |  L3469  |
           4256.498  |           4256.49+  |    20* |           |      | 150121.5922   -  173608.51    | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   | 2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 2   |    |            |  L3469  |
           4259.739  |           4259.73+  |     10 |           |      | 149657.0392   -  173126.12    | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3   | 2s2.2p5.(2P*<3/2>).13s | 2[3/2]* | 2   |    |            |  L3469  |
           4262.479  |           4262.48+  |     20 |           |      | 149824.2215   -  173278.15    | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   | 2s2.2p5.(2P*<3/2>).13d | 2[7/2]* | 3   |    |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           4267.286  |           4267.287+ |     10 |           |      | 148257.7898   -  171685.289   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).7d  | 2[5/2]* | 2   |    |            |  L3469  |
           4267.724  |           4267.720+ |     50 |           |      | 148257.7898   -  171682.914   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).7d  | 2[3/2]* | 1   |    |            |  L3469  |
