-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    Observed  |                      Ritz    |    Rel. |     Aki    | Acc. |             Ei           Ek             |     Lower level     |     Upper level     |Type|    TP  |      Line  |
                   Wavelength |                   Wavelength |    Int. |     s^-1   |      |           (cm-1)       (cm-1)           |---------------------|---------------------|    |   Ref. |      Ref.  |
                    Air  (Å)  |                    Air  (Å)  |    (?)  |            |      |                                         | Conf.  | Term | J   | Conf.  | Term | J   |    |        |            |
                4861.35       |                4861.333      |  180000 | 8.4193e+06 | AAA  | 82259.158          -  102823.904        | 2      |      |     | 4      |      |     |    |  T8637 |  L7439c30  |
                              |                4861.36151557 |         | 2.0625e+07 | AAA  | 82259.2850014      -  102823.9094871    | 2p     | 2P*  | 3/2 | 4d     | 2D   | 5/2 |    |  T8637 |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                4861.3622     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c65  |
                              |                4861.3651175  |         | 3.4375e+06 | AAA  | 82259.2850014      -  102823.894250     | 2p     | 2P*  | 3/2 | 4d     | 2D   | 3/2 |    |  T8637 |            |
                              |                4861.37486402 |         | 1.7190e+06 | AAA  | 82259.2850014      -  102823.8530211    | 2p     | 2P*  | 3/2 | 4s     | 2S   | 1/2 |    |  T8637 |            |
                6562.709699   |                6562.709702   |         | 5.3877e+07 | AAA  | 82258.9191133      -   97492.319433     | 2p     | 2P*  | 1/2 | 3d     | 2D   | 3/2 |    |  T8637 |     L2752  |
                              |                6562.714      |         |            |      |                                         |        |      |     |        |      |     |    |        |       c67  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                6562.722      |         |            |      |                                         |        |      |     |        |      |     |    |        |       c68  |
                6562.724827   |                6562.724827   |         | 2.2448e+07 | AAA  | 82258.9543992821   -   97492.319611     | 2s     | 2S   | 1/2 | 3p     | 2P*  | 3/2 |    |  T8637 |  L6891c38  |
                              |                6562.751807   |         | 2.1046e+06 | AAA  | 82258.9191133      -   97492.221701     | 2p     | 2P*  | 1/2 | 3s     | 2S   | 1/2 |    |  T8637 |            |
                              |                6562.767009   |         |            |      | 82258.9543992821   -   97492.221701     | 2s     | 2S   | 1/2 | 3s     | 2S   | 1/2 | M1 |        |            |
                              |                6562.770      |         |            |      |                                         |        |      |     |        |      |     |    |        |       c66  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                6562.771534   |                6562.771533   |         | 2.2449e+07 | AAA  | 82258.9543992821   -   97492.211200     | 2s     | 2S   | 1/2 | 3p     | 2P*  | 1/2 |    |  T8637 |  L6891c38  |
                6562.79       |                6562.819      |  500000 | 4.4101e+07 | AAA  | 82259.158          -   97492.304        | 2      |      |     | 3      |      |     |    |  T8637 |  L7400c29  |
                              |                6562.795      |         |            |      |                                         |        |      |     |        |      |     |    |        |       c69  |
                6562.85175    |                6562.851769   |         | 6.4651e+07 | AAA  | 82259.2850014      -   97492.355566     | 2p     | 2P*  | 3/2 | 3d     | 2D   | 5/2 |    |  T8637 |     L2752  |
                              |                6562.8533     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c71  |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                6562.854      |         |            |      |                                         |        |      |     |        |      |     |    |        |       c70  |
